"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "SCSS", "CSS", "C#", "XML", "comment", "blank", "total"
"g:\InternShipApp\API\FluentMigration\Migrations\ChallangeSolutionTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -7, -42
"g:\InternShipApp\API\FluentMigration\Migrations\ChallangeTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -6, -36
"g:\InternShipApp\API\FluentMigration\Migrations\ChatTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -5, -38
"g:\InternShipApp\API\FluentMigration\Migrations\CommentTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -5, -38
"g:\InternShipApp\API\FluentMigration\Migrations\FeedbackTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, -9, -59
"g:\InternShipApp\API\FluentMigration\Migrations\GetPeopleInGroupMeetingView.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, -2, -45
"g:\InternShipApp\API\FluentMigration\Migrations\GroupChatMessageTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -6, -39
"g:\InternShipApp\API\FluentMigration\Migrations\GroupChatPersonTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -5, -36
"g:\InternShipApp\API\FluentMigration\Migrations\GroupChatTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"g:\InternShipApp\API\FluentMigration\Migrations\GroupTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"g:\InternShipApp\API\FluentMigration\Migrations\InternGroupTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -5, -36
"g:\InternShipApp\API\FluentMigration\Migrations\LoggingTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -2, -29
"g:\InternShipApp\API\FluentMigration\Migrations\MeetingInternGroupTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, -6, -43
"g:\InternShipApp\API\FluentMigration\Migrations\MeetingTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -4, -33
"g:\InternShipApp\API\FluentMigration\Migrations\NoteTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -6, -34
"g:\InternShipApp\API\FluentMigration\Migrations\PasswordkLinkTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -4, -25
"g:\InternShipApp\API\FluentMigration\Migrations\PersonTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -3, -31
"g:\InternShipApp\API\FluentMigration\Migrations\PostCommentReactionsTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -6, -45
"g:\InternShipApp\API\FluentMigration\Migrations\PostPicturesTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -4, -30
"g:\InternShipApp\API\FluentMigration\Migrations\PostTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -6, -35
"g:\InternShipApp\API\FluentMigration\Migrations\PostViewTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -5, -36
"g:\InternShipApp\API\FluentMigration\Migrations\QuestionSolutionTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, -9, -47
"g:\InternShipApp\API\FluentMigration\Migrations\QuestionTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -7, -42
"g:\InternShipApp\API\FluentMigration\Migrations\SubTaskCheckedTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -7, -38
"g:\InternShipApp\API\FluentMigration\Migrations\SubTaskTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -6, -32
"g:\InternShipApp\API\FluentMigration\Migrations\TaskInternGroupTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, -6, -43
"g:\InternShipApp\API\FluentMigration\Migrations\TaskSolutionTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -10, -43
"g:\InternShipApp\API\FluentMigration\Migrations\TaskTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -7, -36
"g:\InternShipApp\API\FluentMigration\Migrations\TestGroupInternTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, -6, -43
"g:\InternShipApp\API\FluentMigration\Migrations\TestQuestionTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -7, -38
"g:\InternShipApp\API\FluentMigration\Migrations\TestTable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -7, -36
"g:\InternShipApp\API\Helpers\AutoMapperProfiles.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -105, 0, 0, -3, -108
"g:\InternShipApp\API\Interfaces\ITokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"g:\InternShipApp\API\Interfaces\Repository\IChallengeRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -2, -19
"g:\InternShipApp\API\Interfaces\Repository\IChallengeSolutionRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -3, -21
"g:\InternShipApp\API\Interfaces\Repository\ICommentRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"g:\InternShipApp\API\Interfaces\Repository\IGroupChatMessagesRepostitory.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"g:\InternShipApp\API\Interfaces\Repository\IGroupChatRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -2, -21
"g:\InternShipApp\API\Interfaces\Repository\IGroupRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -2, -18
"g:\InternShipApp\API\Interfaces\Repository\IInternGroupRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"g:\InternShipApp\API\Interfaces\Repository\ILoggRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"g:\InternShipApp\API\Interfaces\Repository\IMeetingRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -2, -21
"g:\InternShipApp\API\Interfaces\Repository\IMessageRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"g:\InternShipApp\API\Interfaces\Repository\INoteRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"g:\InternShipApp\API\Interfaces\Repository\IPasswordLinkRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"g:\InternShipApp\API\Interfaces\Repository\IPersonRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, -1, -21
"g:\InternShipApp\API\Interfaces\Repository\IPostRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"g:\InternShipApp\API\Interfaces\Repository\IQuestionRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"g:\InternShipApp\API\Interfaces\Repository\IQuestionSolutionRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -2, -12
"g:\InternShipApp\API\Interfaces\Repository\IStatsRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -2, -13
"g:\InternShipApp\API\Interfaces\Repository\ISubTaskRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"g:\InternShipApp\API\Interfaces\Repository\ITaskRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -3, -22
"g:\InternShipApp\API\Interfaces\Repository\ITestInternGroupRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"g:\InternShipApp\API\Interfaces\Repository\ITestQuestionRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -2, -17
"g:\InternShipApp\API\Interfaces\Repository\ITestRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -1, -19
"g:\InternShipApp\API\Models\Challange.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -13, -30
"g:\InternShipApp\API\Models\ChallangeSolution.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -12, -28
"g:\InternShipApp\API\Models\Chat.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\Comment.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -11, -26
"g:\InternShipApp\API\Models\Feedback.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -15, -34
"g:\InternShipApp\API\Models\GetPeopleInGroupMeeting.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -13, -30
"g:\InternShipApp\API\Models\Group.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -13, -30
"g:\InternShipApp\API\Models\GroupChat.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\GroupChatMessage.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\GroupChatPerson.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\InternGroup.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\InternShipAppSystemContext.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -502, 0, 0, -153, -655
"g:\InternShipApp\API\Models\Logging.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\Meeting.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -11, -26
